,track_name,artist_name,release_date,id_track,genero
75,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2022-03-04,0QBzMgT7NIeoCYy3sJCof1,pop
76,Romantic Homicide,d4vd,2022-07-20,1xK59OXxi2TAAAbmZK0kBL,pop
77,Le Pido a DIOS,"Feid, DJ Premier",2022-12-02,4TFNKnMWjcMWzpkSwQrrcu,pop
78,SIRI,"Romeo Santos, Chris Lebron",2022-09-01,5S4aEL1BMsgLvCSt4BijHd,pop
79,Belly Dancer,"Imanbek, BYOR",2022-02-18,7fZBQnc0zXwVybgCIrQQil,pop
80,Snooze,SZA,2022-12-09,4iZ4pt7kvcaH6Yo8UoZ4s2,pop
81,Normal,Feid,2022-07-08,2z9YkcLojiOE7Eu2p9lPZR,pop
82,Ferrari,"James Hype, Miggy Dela Rosa",2022-04-01,4zN21mbAuaD0WqtmaTZZeP,pop
83,Heaven Takes You Home (feat. Connie Constance),"Swedish House Mafia, Connie Constance",2022-04-15,3nEHrvNNtgLv9rneTAYVr4,pop
84,Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",2022-06-17,7MIhUdNJtaOnDmC5nBC1fb,pop
85,Is There Someone Else?,The Weeknd,2022-01-06,0mL82sxCRjrs3br407IdJh,pop
86,Late Night Talking,Harry Styles,2022-05-20,1qEmFfgcLObUfQm0j1W2CK,pop
87,ADIÓS,Maria Becerra,2022-12-08,2bNCiY24Eh4saMcc23bvUN,pop
88,because i liked a boy,Sabrina Carpenter,2022-07-15,32FhTAAjKZaBein150o3Px,pop
89,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2022-09-22,3nqQXoyQOWXiESFLlDF1hG,pop
90,Sharks,Imagine Dragons,2022-07-01,7sA2SKTo1QbTSSYn5YvJC4,pop
91,she's all i wanna be,Tate McRae,2022-05-27,7l9IqDtVWJurTvkQHq1BGh,pop
92,Feliz Cumpleaños Ferxxo,Feid,2022-08-19,3kUq4sBcmxhnOtNysZ9yrp,pop
93,DPM (De Pxta Madre),Kany García,2022-05-27,4wJXlFV0oh88ktxE54uqKE,pop
94,Bones,Imagine Dragons,2022-03-11,0HqZX76SFLDz2aW8aiqi7G,pop
95,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2022-06-17,3F5CgOj3wFlRv51JsHbxhe,pop
96,CUFF IT,Beyoncé,2022-07-29,1xzi1Jcr7mEi9K2RfzLOqS,pop
97,Where Did You Go? (feat. MNEK),"Jax Jones, MNEK",2022-02-04,3sa06xVNmLLYIxdNNmVQN8,pop
98,the perfect pair,beabadoobee,2022-07-15,41P6Tnd8KIHqON0QIydx6a,pop
99,ceilings,Lizzy McAlpine,2022-04-08,2L9N0zZnd37dwF0clgxMGI,pop
100,Call It Love,"Felix Jaehn, Ray Dalton",2022-09-16,5YdnOm5990Kfq1Jodws98B,pop
101,Open Arms (feat. Travis Scott),"SZA, Travis Scott",2022-12-08,6koKhrBBcExADvWuOgceNZ,pop
102,Crazy What Love Can Do,"David Guetta, Becky Hill, Ella Henderson",2022-04-08,1WCEAGGRD066z2Q89ObXTq,pop
103,Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",2022-01-03,7kfOEMJBJwdCYqyJeEnNhr,pop
104,DESAFIANDO EL DESTINO,Maria Becerra,2022-12-09,4rBQxFVwTnf99p818azSon,pop
105,Another Love - Tiësto Remix,"Tom Odell, Tiësto",2022-05-13,4Et6tUEO7biKxZEfJXpNj1,pop
106,Ferxxo 100,Feid,2022-06-03,6ipzb1kHhWIxp1tS0vwqPl,pop
107,In The Stars,Benson Boone,2022-04-29,1ei3hzQmrgealgRKFxIcWn,pop
108,How Do I Say Goodbye,Dean Lewis,2022-08-31,5hnGrTBaEsdukpDF6aZg8a,pop
109,How Do I Say Goodbye,Dean Lewis,2022-11-04,1aOl53hkZGHkl2Snhr7opL,pop
110,21 Reasons (feat. Ella Henderson),"Nathan Dawe, Ella Henderson",2022-04-29,1RF02Cf80mTaeNXG2P2boR,pop
111,"You're On Your Own, Kid",Taylor Swift,2022-10-21,4D7BCuvgdJlYvlX5WlN54t,pop
112,Get Busy,Sean Paul,2022-11-11,6bK9BH9Ts8Gj5JFvnQkzak,pop
113,10:35,"Tiësto, Tate McRae",2022-11-03,6BePGk3eCan4FqaW2X8Qy3,pop
114,Satisfaction,"David Guetta, Benny Benassi",2022-08-12,0lwyzp7GppQxv0Eu6wRkUo,pop
115,Sus Huellas,Romeo Santos,2022-09-01,7fBuy1fdHEwG3mRdlHNM41,pop
116,golden hour,JVKE,2022-09-23,5odlY52u43F5BjByhxg7wg,pop
117,Memories,Conan Gray,2022-06-24,5UXJzLFdBn6u9FJTCnoHrH,pop
118,Bad Memories (feat. Elley Duhé & FAST BOY),"MEDUZA, James Carter, Elley Duhé, FAST BOY",2022-07-22,3rb0tMq42WfggucPm0HHkA,pop
119,Before You,Benson Boone,2022-10-28,523f4oSjrZx83XDtRLnsIw,pop
120,KU LO SA - A COLORS SHOW,Oxlade,2022-06-10,2WigMwGJysIh9fRnSJvpjn,pop
121,Bebo,Romeo Santos,2022-09-01,7HsebNHZDGj8UhWIrZaMx6,pop
122,Bolide allemand,SDM,2022-12-02,0EzNyXyU7gHzj2TN8qYThj,pop
123,Calm Down,Rema,2022-02-10,6hgoYQDUcPyCz7LcTUHKxa,pop
124,Heaven Is A Place On Earth,"W&W, AXMO",2022-12-16,6FAmtZoa7jq6bH9GBjCRkM,pop
125,Shut up My Moms Calling (Sped up),Hotel Ugly,2022-09-14,31mzt4ZV8C0f52pIz1NSwd,pop
126,Belixe,Feid,2022-09-14,0S4w5ZBEbxYxiygvz9wWdK,pop
127,cuatro veinte,Emilia,2022-05-31,3ushwCdjpWNdSnZgRFU6Oc,pop
128,About Damn Time,Lizzo,2022-07-15,6HMtHNpW6YPi1hrw9tgF8P,pop
129,Words (feat. Zara Larsson),"Alesso, Zara Larsson",2022-04-22,1bgKMxPQU7JIZEhNsM1vFs,pop
130,Marte,"Sofía Reyes, Maria Becerra",2022-02-10,1uK5rDY3BnikyG0sl3tPpc,pop
131,Little Freak,Harry Styles,2022-05-20,3i058E8uxTsYqJ5NWZzqSj,pop
132,Los Besos,Greeicy,2022-03-04,50SFVefoyzWnJy1oQWfRtr,pop
133,Castigo,Feid,2022-09-14,18pWcEUcUJpBFs7eNBsBht,pop
134,Karma,Taylor Swift,2022-10-21,7KokYm8cMIXCsGVmUvKtqf,pop
135,golden hour,JVKE,2022-10-03,4yNk9iz9WVJikRFle3XEvn,pop
136,Kill Bill,SZA,2022-12-09,3OHfY25tqY28d16oZczHc8,pop
137,California,Feid,2022-12-02,19iUrnYyBAG5LaxT72ajsM,pop
138,Mojando Asientos (feat. Feid),"Maluma, Feid",2022-03-24,0LKu09Iq053CEUZ5ktQEWc,pop
139,this is what falling in love feels like,JVKE,2022-09-23,2PWTZV5znjLtZC5T1EVJvL,pop
140,Wrecked,Imagine Dragons,2022-07-01,6TEftSkmWdTm1EpThnwqh6,pop
141,Agüita e Coco,Kany García,2022-05-27,5vAlpYZi59u0GPP3RvyKIZ,pop
142,In My Room,Chance Peña,2022-05-06,7CiDwKE62N6ey3LyG6s7xc,pop
143,Gilded Lily,Cults,2022-10-26,3Z0qLOS0cqWKPHXkbTXmNF,pop
144,Wasted Love (feat. Lagique),"Ofenbach, Lagique",2022-09-02,1cYyZ1N98GyRS3cMcccFHd,pop
145,FAKE LOVE,BTS,2022-06-10,3YspylwDrs1LuzPONbKmAL,pop
146,Run BTS,BTS,2022-06-10,69xohKu8C1fsflYAiSNbwM,pop
147,Numb,"Marshmello, Khalid",2022-06-10,10xV5l9nhLvFpR8mqzs0bL,pop
148,Hold My Hand,Lady Gaga,2022-05-03,0oWraSo5ASJ0h1BEagTyEw,pop
149,MANIAC,Stray Kids,2022-03-18,63irPUP3xB74fHdw1Aw9zR,pop
150,Read your Mind,Sabrina Carpenter,2022-07-15,4Wos0h9ECU2Z3oJMTQxpbc,pop
151,Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead, Norma Jean Martine",2022-09-02,2RRpaU7jFVcwo23pthdnBv,pop
152,Me Extraño,"Romeo Santos, Christian Nodal",2022-09-01,3qx4POjFiODHPwCBjq8IEW,pop
153,Satellite,Harry Styles,2022-05-20,0rzaRSujxA0bKyjJl6vHYq,pop
154,Fake ID (Coke & Rum Remix),"Riton, Kah-Lo, GEE LEE",2022-12-15,2VuzBUB5V9AlpniCUhaszP,pop
155,Low,SZA,2022-12-09,2GAhgAjOhEmItWLfgisyOn,pop
156,Malas Decisiones,Kenia OS,2022-10-26,6Xj014IHwbLVjiVT6H89on,pop
157,MORE,j-hope,2022-07-15,7GARzfC1mwhDuk4t9WOACq,pop
158,The Astronaut,Jin,2022-10-28,0h7QMc9ZRzA9QJrbEHytn2,pop
159,The 30th,Billie Eilish,2022-07-21,5SHpuW2qjkQtFRpE6P9Nks,pop
160,Good Days,SZA,2022-12-09,4PMqSO5qyjpvzhlLI5GnID,pop
161,KICK BACK,Kenshi Yonezu,2022-10-12,3khEEPRyBeOUabbmOPJzAG,pop
162,Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",2022-10-31,1udwFobQ1JoOdWPQrp2b6u,pop
163,Pa' la Selección,La T y La M,2022-11-21,2l0hr2jYYXdkbF393AThLm,pop
164,THE LONELIEST,Måneskin,2022-10-07,1Ame8XTX6QHY0l0ahqUhgv,pop
165,La Pasamos CXBRXN,"Feid, Zion & Lennox",2022-12-02,672zDo2nzWSoIIQ7zD5kuj,pop
166,Pink Venom,BLACKPINK,2022-09-15,5zwwW9Oq7ubSxoCGyW1nbY,pop
167,Aguante,Feid,2022-09-14,2dWGQ975YrNma4SdfmJRDg,pop
168,Out of Time,The Weeknd,2022-01-06,2SLwbpExuoBDZBpjfefCtV,pop
169,cielo en la mente,Emilia,2022-05-31,0Q1NGtkEts8tjIC4eSWiya,pop
170,I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2022-06-03,0O6u0VJ46W86TxN9wgyqDj,pop
171,Bejeweled,Taylor Swift,2022-10-21,3qoftcUZaUOncvIYjFSPdE,pop
172,Supongo Que Lo Sabes,Ha*Ash,2022-09-02,0poZ5t6JLsuxtUXfhPDLJI,pop
173,Butter,BTS,2022-06-10,6jjYDGxVJsWS0a5wlVF5vS,pop
174,Devil Doesn’t Bargain,Alec Benjamin,2022-04-15,1zu2GKHPJIsUu80SUJX4H4,pop
175,Quemando Calorías,"Feid, Sky Rompiendo",2022-09-14,3ss6y0Id5Iwk2L5MIZp4xF,pop
176,Family Line,Conan Gray,2022-06-24,0iNZGC211wst3VjtobNnC5,pop
177,Cicuta - Remix,"Peces Raros, Trueno",2022-04-01,6qqeq1UoryAxgud2JfF76t,pop
178,Qué Agonía,"Yuridia, Ángela Aguilar",2022-10-20,4H6o1bxKRGzmsE0vzo968m,pop
179,Best Day Of My Life,Tom Odell,2022-10-28,1GIsnE71uUtWvGpvnJCTXO,pop
180,Kernkraft 400 (A Better Day),"Topic, A7S",2022-06-17,3kcKlOkQQEPVwxwljbGJ5p,pop
181,OJALÁ,Maria Becerra,2022-12-08,5RlibNUdsaN2oPX9MWl52K,pop
182,Massive,Drake,2022-06-17,28JBD8p18xNuOfyV7Cotdn,pop
183,Lavender Haze,Taylor Swift,2022-10-21,5jQI2r1RdgtuT8S3iG8zFC,pop
184,Less Than Zero,The Weeknd,2022-01-06,2D4dV2KXDTszzJ3p3cFqhA,pop
185,Midnight Rain,Taylor Swift,2022-10-21,3rWDp9tBPQR9z6U5YyRSK4,pop
186,Rich Flex,"Drake, 21 Savage",2022-11-04,1bDbXMyjaUIooNwFE9wn0N,pop
187,Astronomy,Conan Gray,2022-06-24,2JN3ugW1cEahbYw0I5mw5U,pop
188,Ditto,NewJeans,2022-12-19,3r8RuvgbX9s7ammBn07D3W,pop
189,Llorar y Llorar - con Carin Leon,"Mau y Ricky, Carin Leon",2022-05-31,4YF13O2n16dcTyGgVmiGvN,pop
190,SUPERMODEL,Måneskin,2022-05-13,63WuQOXohQIxOxIFA2K7bR,pop
191,Brividi,"Mahmood, BLANCO",2022-02-02,1ZMGp9MTXbtAPvcKa0U3zS,pop
192,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"Jung Kook, BTS, FIFA Sound",2022-11-20,0jY618wuln0b5b8sCxFgjk,pop
193,Mojando Asientos (feat. Feid),"Maluma, Feid",2022-06-10,6lV9cTvioGWqRXSgfjAUGL,pop
194,Underground,Emilia,2022-11-17,3QWCxOv2YharMus6KbfiPJ,pop
195,Volare,Danny Ocean,2022-07-07,6TCnhziFkBPhOTqvh8zVDU,pop
